SALEYEAR,SALETYPE,SALECODE,SALEDATE,BOOK,DAY,HIP,HIPNUM,HORSE,CHORSE,RATING,TATTOO,DATEFOAL,YEARFOAL,AGE,COLOR,SEX,GAIT,TYPE,RECORD,ET,ELIG,SIRE,CSIRE,DAM,CDAM,SIREOFDAM,CSIREOFDAM,DAMOFDAM,CDAMOFDAM,DAMTATT,DAMYOF,DDAMTATT,BREDTO,LASTBRED,CONSLNAME,CONSNO,PEMCODE,PURFNAME,PURLNAME,SBCITY,SBSTATE,SBCOUNTRY,PRICE,CURRENCY,URL,NFFM,PRIVATESALE,BREED,UTT,STATUS,TDAM,tSire,tSireofdam,url-ut
2024,Y,24FTJULYYR,2024-07-09,1,1,1,1,No Horse,No Horse,,,2023-02-06,2023,1,DKB,C,,Y,,,KY,MAXFIELD,MAXFIELD,ABUNDANT FLURRY,ABUNDANT FLURRY,MIDSHIPMAN,MIDSHIPMAN,,,,0,,,1901-01-01,LEGACY BLOODSTOCK AGENT V,,,,RESOLUTE BLOODSTOCK,,,,220000,,,,,T,0.0,,ABUNDANT FLURRY,MAXFIELD,MIDSHIPMAN,
2024,Y,24FTJULYYR,2024-07-09,1,1,2,2,No Horse,No Horse,,,2023-03-01,2023,1,B,F,,Y,,,PA,BASIN,BASIN,ALEXANDRIA WA,ALEXANDRIA WA,BLUEGRASS CAT,BLUEGRASS CAT,,,,0,,,1901-01-01,LEGACY BLOODSTOCK AGENT III,,,,NOT SOLD,,,,25000,,,,,T,0.0,,ALEXANDRIA WA,BASIN,BLUEGRASS CAT,
2024,Y,24FTJULYYR,2024-07-09,1,1,3,3,No Horse,No Horse,,,2023-03-11,2023,1,GRR,C,,Y,,,CO,TACITUS,TACITUS,ALLIYA'S STORY,ALLIYA'S STORY,SUPER SAVER,SUPER SAVER,,,,0,,,1901-01-01,TAYLOR MADE SALES AGENCY AGENT LXVI,,,,NOT SOLD,,,,65000,,,,,T,0.0,,ALLIYA'S STORY,TACITUS,SUPER SAVER,
2024,Y,24FTJULYYR,2024-07-09,1,1,4,4,No Horse,No Horse,,,2023-04-03,2023,1,B,F,,Y,,,KY,ROCK YOUR WORLD,ROCK YOUR WORLD,AMERICAN PRINCESS,AMERICAN PRINCESS,QUIET AMERICAN,QUIET AMERICAN,,,,0,,,1901-01-01,VINERY SALES AGENT XXVII,,,,OUT,,,,0,,,,,T,0.0,,AMERICAN PRINCESS,ROCK YOUR WORLD,QUIET AMERICAN,
2024,Y,24FTJULYYR,2024-07-09,1,1,5,5,No Horse,No Horse,,,2023-02-27,2023,1,B,F,,Y,,,KY,RAGING BULL (FR),RAGING BULL (FR),ANGEL CHOIR,ANGEL CHOIR,STAR CAT,STAR CAT,,,,0,,,1901-01-01,C & S THOROUGHBREDS AGENT,,,,CAPYBARD RACING,,,,25000,,,,Y,T,0.0,,ANGEL CHOIR,RAGING BULL (FR),STAR CAT,
2024,Y,24FTJULYYR,2024-07-09,1,1,6,6,No Horse,No Horse,,,2023-02-10,2023,1,DKB,C,,Y,,,KY,TACITUS,TACITUS,ANNIES LAW,ANNIES LAW,HARLAN'S HOLIDAY,HARLAN'S HOLIDAY,,,,0,,,1901-01-01,ST GEORGE SALES AGENT V,,,,NOT SOLD,,,,10000,,,,,T,0.0,,ANNIES LAW,TACITUS,HARLAN'S HOLIDAY,
2024,Y,24FTJULYYR,2024-07-09,1,1,7,7,No Horse,No Horse,,,2023-02-21,2023,1,DKB,C,,Y,,,KY,ROCK YOUR WORLD,ROCK YOUR WORLD,AQUEMINI,AQUEMINI,WILDCAT HEIR,WILDCAT HEIR,,,,0,,,1901-01-01,BUCKLAND SALES (ZACH MADDEN) AGENT IV,,,,OUT,,,,0,,,,,T,0.0,,AQUEMINI,ROCK YOUR WORLD,WILDCAT HEIR,
2024,Y,24FTJULYYR,2024-07-09,1,1,8,8,No Horse,No Horse,,,2023-03-10,2023,1,B,C,,Y,,,FL,BEAU LIAM,BEAU LIAM,AUNT IMO,AUNT IMO,UNCLE MO,UNCLE MO,,,,0,,,1901-01-01,TAYLOR MADE SALES AGENCY AGENT XIII,,,,AL PIKE AGENT,,,,87000,,,,,T,0.0,,AUNT IMO,BEAU LIAM,UNCLE MO,
2024,Y,24FTJULYYR,2024-07-09,1,1,9,9,No Horse,No Horse,,,2023-03-11,2023,1,DKB,F,,Y,,,KY,YAUPON,YAUPON,BANKRUPTONTHEBEACH,BANKRUPTONTHEBEACH,TEMPLE CITY,TEMPLE CITY,,,,0,,,1901-01-01,GAINESWAY AGENT XIII,,,,CJ STABLES LLC,,,,170000,,,,,T,0.0,,BANKRUPTONTHEBEACH,YAUPON,TEMPLE CITY,
2024,Y,24FTJULYYR,2024-07-09,1,1,10,10,No Horse,No Horse,,,2023-05-08,2023,1,B,C,,Y,,,KY,CORE BELIEFS,CORE BELIEFS,BEAUTY BUZZ,BEAUTY BUZZ,BERNARDINI,BERNARDINI,,,,0,,,1901-01-01,GAINESWAY AGENT FOR WALMAC FARM LLC,,,,SUNSHINE STABLES,,,,100000,,,,,T,0.0,,BEAUTY BUZZ,CORE BELIEFS,BERNARDINI,
