SALEYEAR,SALETYPE,SALECODE,SALEDATE,BOOK,DAY,HIP,HIPNUM,HORSE,CHORSE,RATING,TATTOO,DATEFOAL,YEARFOAL,AGE,COLOR,SEX,GAIT,TYPE,RECORD,ET,ELIG,SIRE,CSIRE,DAM,CDAM,SIREOFDAM,CSIREOFDAM,DAMOFDAM,CDAMOFDAM,DAMTATT,DAMYOF,DDAMTATT,BREDTO,LASTBRED,CONSLNAME,CONSNO,PEMCODE,PURFNAME,PURLNAME,SBCITY,SBSTATE,SBCOUNTRY,PRICE,CURRENCY,URL,NFFM,PRIVATESALE,BREED,UTT,STATUS,TDAM,tSire,tSireofdam,url-ut
2024,M,24FTKNOV,2024-11-04,1,1,1,1,No Horse,No Horse,,,2024-04-19,2024,0,DKB,F,,W,,,KY,EARLY VOTING,EARLY VOTING,NICKY SCISSORS,NICKY SCISSORS,MISSION IMPAZIBLE,MISSION IMPAZIBLE,,,,0,,ELISE HANDLER,1901-01-01,SPRUCETON FARM LLC AGENT II,,,,NOT SOLD,,,,70000,,https://vimeo.com/1024612074,,,T,0.0,,NICKY SCISSORS,EARLY VOTING,MISSION IMPAZIBLE,
2024,M,24FTKNOV,2024-11-04,1,1,2,2,No Horse,No Horse,,,2024-03-30,2024,0,B,C,,W,,,KY,COMPLEXITY,COMPLEXITY,OCEAN RAGS,OCEAN RAGS,UNION RAGS,UNION RAGS,,,,0,,TAYLOR MADE SALES AGENCY,1901-01-01,TAYLOR MADE SALES AGENCY AGENT XIV,,,,NEW YEAR VENTURES,,,,42500,,https://youtu.be/8IC5FJWaTqc,,,T,0.0,,OCEAN RAGS,COMPLEXITY,UNION RAGS,
2024,M,24FTKNOV,2024-11-04,1,1,3,3,No Horse,No Horse,,,2024-04-30,2024,0,CH,C,,W,,,KY,GOLDEN PAL,GOLDEN PAL,OPAL BLUE (IRE),OPAL BLUE (IRE),PIVOTAL (GB),PIVOTAL (GB),,,,0,,EATON SALES,1901-01-01,EATON SALES AGENT,,,,EN FUEGO STABLES,,,,170000,,https://vimeo.com/1024955794,,,T,0.0,,OPAL BLUE (IRE),GOLDEN PAL,PIVOTAL (GB),
2024,M,24FTKNOV,2024-11-04,1,1,4,4,No Horse,No Horse,,,2024-01-24,2024,0,GRR,F,,W,,,FL,JACK CHRISTOPHER,JACK CHRISTOPHER,PLATINUM MOON,PLATINUM MOON,MALIBU MOON,MALIBU MOON,,,,0,,SUMMERFIELD SALES INC,1901-01-01,SUMMERFIELD (FRANCIS & BARBARA VANLANGENDONCK) AGENT,,,,NOT SOLD,,,,145000,,https://vimeo.com/1024882631,,,T,0.0,,PLATINUM MOON,JACK CHRISTOPHER,MALIBU MOON,
2024,M,24FTKNOV,2024-11-04,1,1,5,5,No Horse,No Horse,,,2024-02-13,2024,0,B,C,,W,,,KY,GOOD MAGIC,GOOD MAGIC,PREACHETTE,PREACHETTE,PULPIT,PULPIT,,,,0,,TIM & NANCY HAMLIN,1901-01-01,WYNNSTAY SALES AGENT,,,,NOT SOLD,,,,240000,,https://youtu.be/g6KcuwjNhno,,,T,0.0,,PREACHETTE,GOOD MAGIC,PULPIT,
2024,M,24FTKNOV,2024-11-04,1,1,6,6,No Horse,No Horse,,,2024-02-27,2024,0,B,C,,W,,,KY,GOOD MAGIC,GOOD MAGIC,PRECIOUS DIXIE,PRECIOUS DIXIE,BERNARDINI,BERNARDINI,,,,0,,TAYLOR MADE SALES AGENCY,1901-01-01,TAYLOR MADE SALES AGENCY AGENT XXXVI,,,,GOOD WILL BLOODSTOCK,,,,125000,,https://youtu.be/-vlSXWsdMtw,,,T,0.0,,PRECIOUS DIXIE,GOOD MAGIC,BERNARDINI,
2024,M,24FTKNOV,2024-11-04,1,1,7,7,No Horse,No Horse,,,2024-04-08,2024,0,CH,F,,W,,,KY,OSCAR PERFORMANCE,OSCAR PERFORMANCE,PROXIMITY BIAS,PROXIMITY BIAS,FLATTER,FLATTER,,,,0,,MILL RIDGE SALES,1901-01-01,MILL RIDGE SALES AGENT I,,,,GREEN EQUINE,,,,125000,,https://vimeo.com/1024210151,,,T,0.0,,PROXIMITY BIAS,OSCAR PERFORMANCE,FLATTER,
2024,M,24FTKNOV,2024-11-04,1,1,8,8,No Horse,No Horse,,,2024-02-20,2024,0,B,F,,W,,,KY,BOLT D'ORO,BOLT D'ORO,QUICK ROMANCE,QUICK ROMANCE,KINGMAN (GB),KINGMAN (GB),,,,0,,GAINESWAY,1901-01-01,GAINESWAY AGENT FOR RESOLUTE BLOODSTOCK,,,,DJ  STABLE LLC,,,,20000,,https://vimeo.com/1025561768?share=copy,,,T,0.0,,QUICK ROMANCE,BOLT D'ORO,KINGMAN (GB),
2024,M,24FTKNOV,2024-11-04,1,1,9,9,No Horse,No Horse,,,2024-04-02,2024,0,CH,F,,W,,,KY,JUSTIFY,JUSTIFY,REGAL SERENADE,REGAL SERENADE,BROKEN VOW,BROKEN VOW,,,,0,,INDIAN CREEK FARM,1901-01-01,INDIAN CREEK AGENT,,,,GOOSE CREEK EQUINE,,,,225000,,https://vimeo.com/1023482467,,,T,0.0,,REGAL SERENADE,JUSTIFY,BROKEN VOW,
2024,M,24FTKNOV,2024-11-04,1,1,10,10,No Horse,No Horse,,,2024-04-20,2024,0,B,C,,W,,,KY,NASHVILLE,NASHVILLE,REMINGTON ROSE,REMINGTON ROSE,TAKE CHARGE INDY,TAKE CHARGE INDY,,,,0,,SUMMERFIELD SALES INC,1901-01-01,SUMMERFIELD (FRANCIS & BARBARA VANLANGENDONCK) AGENT,,,,RAMIRO SALAZAR AGENT,,,,35000,,,,,T,0.0,,REMINGTON ROSE,NASHVILLE,TAKE CHARGE INDY,
