SALEYEAR,SALETYPE,SALECODE,SALEDATE,BOOK,DAY,HIP,HIPNUM,HORSE,CHORSE,RATING,TATTOO,DATEFOAL,YEARFOAL,AGE,COLOR,SEX,GAIT,TYPE,RECORD,ET,ELIG,SIRE,CSIRE,DAM,CDAM,SIREOFDAM,CSIREOFDAM,DAMOFDAM,CDAMOFDAM,DAMTATT,DAMYOF,DDAMTATT,BREDTO,LASTBRED,CONSLNAME,CONSNO,PEMCODE,PURFNAME,PURLNAME,SBCITY,SBSTATE,SBCOUNTRY,PRICE,CURRENCY,URL,NFFM,PRIVATESALE,BREED,UTT,STATUS,TDAM,tSire,tSireofdam,url-ut
2024,Y,24FTKYOCT,2024-10-21,1,1,1,1,No Horse,No Horse,,,2023-05-24,2023,1,CH,F,,Y,,,NY,GUN RUNNER,GUN RUNNER,EAST INDIA,EAST INDIA,MIZZEN MAST,MIZZEN MAST,,,,0,,,1901-01-01,PARAMOUNT SALES AGENT XXIII,,,,THIRTY YEAR RACING/TEAM PENNEY,,,,250000,,https://vimeo.com/1021338963,,,T,0.0,,EAST INDIA,GUN RUNNER,MIZZEN MAST,
2024,Y,24FTKYOCT,2024-10-21,1,1,2,2,No Horse,No Horse,,,2023-03-29,2023,1,DKB,F,,Y,,,KY,DIALED IN,DIALED IN,EBONY ORO,EBONY ORO,BOB AND JOHN,BOB AND JOHN,,,,0,,,1901-01-01,SCOTT MALLORY AGENT FOR SEA JAY FARM,,,,NOT SOLD,,,,7000,,https://youtu.be/gsntBBMiM48?si=O2sYtNDnpZ5dMQLk,,,T,0.0,,EBONY ORO,DIALED IN,BOB AND JOHN,
2024,Y,24FTKYOCT,2024-10-21,1,1,3,3,No Horse,No Horse,,,2023-04-27,2023,1,B,F,,Y,,,KY,HIGHER POWER,HIGHER POWER,ECHO STORM,ECHO STORM,THUNDER GULCH,THUNDER GULCH,,,,0,,,1901-01-01,MOREAU BLOODSTOCK INTERNATIONAL,,,,RANCHO LA SOLEDAD DE ALVAREZ,,,,4000,,,,,T,0.0,,ECHO STORM,HIGHER POWER,THUNDER GULCH,
2024,Y,24FTKYOCT,2024-10-21,1,1,4,4,No Horse,No Horse,,,2023-03-21,2023,1,B,C,,Y,,,KY,NYQUIST,NYQUIST,ECHO WARRIOR,ECHO WARRIOR,TIZNOW,TIZNOW,,,,0,,,1901-01-01,TAYLOR MADE SALES AGENCY AGENT XXVII,,,,REDWINGS,,,,250000,,https://vimeo.com/1020779979,,,T,0.0,,ECHO WARRIOR,NYQUIST,TIZNOW,
2024,Y,24FTKYOCT,2024-10-21,1,1,5,5,No Horse,No Horse,,,2023-03-05,2023,1,B,F,,Y,,,KY,MCKINZIE,MCKINZIE,EEK,EEK,EMPIRE MAKER,EMPIRE MAKER,,,,0,,,1901-01-01,GAINESWAY AGENT FOR THE ESTATE OF JOHN HENDRICKSON,,,,MARC TACHER,,,,15000,,https://vimeo.com/1020816875,,,T,0.0,,EEK,MCKINZIE,EMPIRE MAKER,
2024,Y,24FTKYOCT,2024-10-21,1,1,6,6,No Horse,No Horse,,,2023-04-13,2023,1,B,C,,Y,,,KY,AUDIBLE,AUDIBLE,EGG ROLL,EGG ROLL,KITTEN'S JOY,KITTEN'S JOY,,,,0,,,1901-01-01,COLIN BRENNAN BLOODSTOCK AGENT,,,,K.O.I.D.,,,,37000,,https://youtu.be/cuia0S-q3qc,,,T,0.0,,EGG ROLL,AUDIBLE,KITTEN'S JOY,
2024,Y,24FTKYOCT,2024-10-21,1,1,7,7,No Horse,No Horse,,,2023-04-30,2023,1,GRR,F,,Y,,,MD,CAIRO PRINCE,CAIRO PRINCE,EILEEN'S GIRL,EILEEN'S GIRL,MEDAGLIA D'ORO,MEDAGLIA D'ORO,,,,0,,,1901-01-01,HILL 'N' DALE AT XALAPA AGENT,,,,NOT SOLD,,,,12000,,,,,T,0.0,,EILEEN'S GIRL,CAIRO PRINCE,MEDAGLIA D'ORO,
2024,Y,24FTKYOCT,2024-10-21,1,1,8,8,No Horse,No Horse,,,2023-05-21,2023,1,B,C,,Y,,,KY,BEE JERSEY,BEE JERSEY,EKATI PEACE,EKATI PEACE,TALE OF EKATI,TALE OF EKATI,,,,0,,,1901-01-01,HUNTER VALLEY FARM AGENT,,,,NOT SOLD,,,,2000,,,,,T,0.0,,EKATI PEACE,BEE JERSEY,TALE OF EKATI,
2024,Y,24FTKYOCT,2024-10-21,1,1,9,9,No Horse,No Horse,,,2023-03-21,2023,1,DKB,F,,Y,,,KY,VOLATILE,VOLATILE,EL BANK ROBBER,EL BANK ROBBER,ELTISH,ELTISH,,,,0,,,1901-01-01,NARDELLI SALES AGENT I,,,,NOT SOLD,,,,2000,,https://vimeo.com/1018525701,,,T,0.0,,EL BANK ROBBER,VOLATILE,ELTISH,
2024,Y,24FTKYOCT,2024-10-21,1,1,10,10,No Horse,No Horse,,,2023-03-19,2023,1,B,C,,Y,,,KY,MAXIMUS MISCHIEF,MAXIMUS MISCHIEF,ELBA'S FIRST,ELBA'S FIRST,TIZ WONDERFUL,TIZ WONDERFUL,,,,0,,,1901-01-01,MULHOLLAND SPRINGS AGENT,,,,W.P.T.,,,,10000,,https://vimeo.com/1018843317,,,T,0.0,,ELBA'S FIRST,MAXIMUS MISCHIEF,TIZ WONDERFUL,
2024,Y,24FTKYOCT,2024-10-21,1,1,11,11,No Horse,No Horse,,,2023-05-14,2023,1,DKB,C,,Y,,,KY,ESSENTIAL QUALITY,ESSENTIAL QUALITY,ELECTRIC,ELECTRIC,SMART STRIKE,SMART STRIKE,,,,0,,,1901-01-01,BRIDIE HARRISON AGENT FOR PETER E. BLUM THOROUGHBREDS,,,,OUT,,,,0,,,,,T,0.0,,ELECTRIC,ESSENTIAL QUALITY,SMART STRIKE,
2024,Y,24FTKYOCT,2024-10-21,1,1,12,12,No Horse,No Horse,,,2023-05-18,2023,1,DKB,C,,Y,,,KY,DIALED IN,DIALED IN,ELEGANT JEM,ELEGANT JEM,SPRING AT LAST,SPRING AT LAST,,,,0,,,1901-01-01,VINERY SALES AGENT XVII,,,,NOT SOLD,,,,24000,,https://vimeo.com/1019225423,,,T,0.0,,ELEGANT JEM,DIALED IN,SPRING AT LAST,
2024,Y,24FTKYOCT,2024-10-21,1,1,13,13,No Horse,No Horse,,,2023-01-20,2023,1,DKB,C,,Y,,,KY,CONNECT,CONNECT,ELLA BRILLA,ELLA BRILLA,KITTEN'S JOY,KITTEN'S JOY,,,,0,,,1901-01-01,SPARKS VIEW FARM LLC,,,,SJB STABLE TRUST,,,,25000,,https://vimeo.com/1018862315,,,T,0.0,,ELLA BRILLA,CONNECT,KITTEN'S JOY,
