SALEYEAR,SALETYPE,SALECODE,SALEDATE,BOOK,DAY,HIP,HIPNUM,HORSE,CHORSE,RATING,TATTOO,DATEFOAL,YEARFOAL,AGE,COLOR,SEX,GAIT,TYPE,RECORD,ET,ELIG,SIRE,CSIRE,DAM,CDAM,SIREOFDAM,CSIREOFDAM,DAMOFDAM,CDAMOFDAM,DAMTATT,DAMYOF,DDAMTATT,BREDTO,LASTBRED,CONSLNAME,CONSNO,PEMCODE,PURFNAME,PURLNAME,SBCITY,SBSTATE,SBCOUNTRY,PRICE,CURRENCY,URL,NFFM,PRIVATESALE,BREED,UTT,STATUS,TDAM,tSire,tSireofdam,url-ut
2024,Y,24FTSARAUG,2024-08-05,1,1,1,1,No Horse,No Horse,,,2023-04-17,2023,1,B,F,,Y,,,KY,UNCLE MO,UNCLE MO,CALISTOGA,CALISTOGA,SPEIGHTSTOWN,SPEIGHTSTOWN,,,,0,,,1901-01-01,DENALI STUD AGENT III,,,,OUT,,,,0,,,,,T,0.0,,CALISTOGA,UNCLE MO,SPEIGHTSTOWN,
2024,Y,24FTSARAUG,2024-08-05,1,1,2,2,No Horse,No Horse,,,2023-01-23,2023,1,B,C,,Y,,,KY,CHARLATAN,CHARLATAN,CALL ME CANDY,CALL ME CANDY,CANDY RIDE (ARG),CANDY RIDE (ARG),,,,0,,,1901-01-01,INDIAN CREEK AGENT,,,,CENTENNIAL FARMS,,,,375000,,https://vimeo.com/992029899,,,T,0.0,,CALL ME CANDY,CHARLATAN,CANDY RIDE (ARG),
2024,Y,24FTSARAUG,2024-08-05,1,1,3,3,No Horse,No Horse,,,2023-04-26,2023,1,GRR,C,,Y,,,KY,LIAM'S MAP,LIAM'S MAP,CALLMETHESQUEEZE,CALLMETHESQUEEZE,AWESOME AGAIN,AWESOME AGAIN,,,,0,,,1901-01-01,EATON SALES AGENT,,,,ST ELIAS STABLES AND STARLIGHT RACING,,,,425000,,https://vimeo.com/991830787,,,T,0.0,,CALLMETHESQUEEZE,LIAM'S MAP,AWESOME AGAIN,
2024,Y,24FTSARAUG,2024-08-05,1,1,4,4,No Horse,No Horse,,,2023-03-01,2023,1,B,C,,Y,,,KY,LIAM'S MAP,LIAM'S MAP,CAPTURE,CAPTURE,CURLIN,CURLIN,,,,0,,,1901-01-01,SUMMERFIELD (FRANCIS & BARBARA VANLANGENDONCK) AGENT FOR STONESTREET BRED & RAISED,,,,WEST BLDSK AGT. FOR ROBERT & LAWANA LOW,,,,100000,,https://vimeo.com/990751050,,,T,0.0,,CAPTURE,LIAM'S MAP,CURLIN,
2024,Y,24FTSARAUG,2024-08-05,1,1,6,6,No Horse,No Horse,,,2023-03-09,2023,1,B,C,,Y,,,KY,CONSTITUTION,CONSTITUTION,CASHMERE,CASHMERE,COWBOY CAL,COWBOY CAL,,,,0,,,1901-01-01,TURNING POINT BLOODSTOCK AGENT,,,,SPENDTHRIFT FARM LLC,,,,550000,,https://youtu.be/rn4E0HszKp4,,,T,0.0,,CASHMERE,CONSTITUTION,COWBOY CAL,
2024,Y,24FTSARAUG,2024-08-05,1,1,7,7,No Horse,No Horse,,,2023-04-28,2023,1,DKB,C,,Y,,,KY,TWIRLING CANDY,TWIRLING CANDY,CASSIES DREAMER,CASSIES DREAMER,FLATTER,FLATTER,,,,0,,,1901-01-01,TAYLOR MADE SALES AGENCY AGENT CXI,,,,MADDIE MATTMILLER FOR SWINBANK/BLACKTYPE,,,,260000,,https://vimeo.com/991239888,,,T,0.0,,CASSIES DREAMER,TWIRLING CANDY,FLATTER,
2024,Y,24FTSARAUG,2024-08-05,1,1,8,8,No Horse,No Horse,,,2023-03-23,2023,1,CH,C,,Y,,,KY,CONSTITUTION,CONSTITUTION,CATHERINETHEGREAT,CATHERINETHEGREAT,UNCAPTURED,UNCAPTURED,,,,0,,,1901-01-01,MACHMER HALL SALES AGENT FOR WINSTAR FARM BRED & RAISED,,,,DONATO LANNI AGENT FOR SF/STARLIGHT/MADAKET,,,,700000,,https://vimeo.com/991239824,,,T,0.0,,CATHERINETHEGREAT,CONSTITUTION,UNCAPTURED,
2024,Y,24FTSARAUG,2024-08-05,1,1,9,9,No Horse,No Horse,,,2023-04-15,2023,1,B,F,,Y,,,KY,TWIRLING CANDY,TWIRLING CANDY,CELESTIAL WOODS,CELESTIAL WOODS,FORESTRY,FORESTRY,,,,0,,,1901-01-01,BEDOUIN BLOODSTOCK AGENT,,,,NOT SOLD,,,,200000,,https://vimeo.com/990563024,,,T,0.0,,CELESTIAL WOODS,TWIRLING CANDY,FORESTRY,
2024,Y,24FTSARAUG,2024-08-05,1,1,10,10,No Horse,No Horse,,,2023-02-08,2023,1,CH,F,,Y,,,KY,SPEIGHTSTOWN,SPEIGHTSTOWN,CERCE CAY,CERCE CAY,HARD SPUN,HARD SPUN,,,,0,,,1901-01-01,GAINESWAY AGENT I,,,,LIVE OAK PLANTATION,,,,425000,,https://vimeo.com/992567395/3090211219?share=copy,,,T,0.0,,CERCE CAY,SPEIGHTSTOWN,HARD SPUN,
2024,Y,24FTSARAUG,2024-08-05,1,1,11,11,No Horse,No Horse,,,2023-02-22,2023,1,DKB,F,,Y,,,KY,NOT THIS TIME,NOT THIS TIME,CHARGED COTTON,CHARGED COTTON,DEHERE,DEHERE,,,,0,,,1901-01-01,TAYLOR MADE SALES AGENCY AGENT III,,,,NOT SOLD,,,,1075000,,https://youtu.be/zWMwF6QONwE,,,T,0.0,,CHARGED COTTON,NOT THIS TIME,DEHERE,
2024,Y,24FTSARAUG,2024-08-05,1,1,12,12,No Horse,No Horse,,,2023-03-28,2023,1,,F,,Y,,,PA,GUN RUNNER,GUN RUNNER,CHIC THRILL,CHIC THRILL,SMART STRIKE,SMART STRIKE,,,,0,,,1901-01-01,PARAMOUNT SALES AGENT II,,,,OUT,,,,0,,,,,T,0.0,,CHIC THRILL,GUN RUNNER,SMART STRIKE,
2024,Y,24FTSARAUG,2024-08-05,1,1,13,13,No Horse,No Horse,,,2023-05-15,2023,1,B,C,,Y,,,KY,TIZ THE LAW,TIZ THE LAW,CIVILITY PLEDGE,CIVILITY PLEDGE,HARD SPUN,HARD SPUN,,,,0,,,1901-01-01,EATON SALES AGENT,,,,TOM MCCROCKLIN AGT.,,,,250000,,https://vimeo.com/991867266,,,T,0.0,,CIVILITY PLEDGE,TIZ THE LAW,HARD SPUN,
