SALEYEAR,SALETYPE,SALECODE,SALEDATE,BOOK,DAY,HIP,HIPNUM,HORSE,CHORSE,RATING,TATTOO,DATEFOAL,YEARFOAL,AGE,COLOR,SEX,GAIT,TYPE,RECORD,ET,ELIG,SIRE,CSIRE,DAM,CDAM,SIREOFDAM,CSIREOFDAM,DAMOFDAM,CDAMOFDAM,DAMTATT,DAMYOF,DDAMTATT,BREDTO,LASTBRED,CONSLNAME,CONSNO,PEMCODE,PURFNAME,PURLNAME,SBCITY,SBSTATE,SBCOUNTRY,PRICE,CURRENCY,URL,NFFM,PRIVATESALE,BREED,UTT,STATUS,TDAM,tSire,tSireofdam,url-ut
2024,Y,24FTSARNYB,2024-08-11,1,1,301,301,No Horse,No Horse,,,2023-03-08,2023,1,CH,C,,Y,,,NY,FLATTER,FLATTER,REAL CLEVER TRICK,REAL CLEVER TRICK,YES IT'S TRUE,YES IT'S TRUE,,,,0,,,1901-01-01,HIDDEN LAKE FARM LLC,,,,NOT SOLD,,,,120000,,,,,T,0.0,,REAL CLEVER TRICK,FLATTER,YES IT'S TRUE,
2024,Y,24FTSARNYB,2024-08-11,1,1,302,302,No Horse,No Horse,,,2023-05-03,2023,1,CH,C,,Y,,,NY,STREET BOSS,STREET BOSS,RESOUNDINGLY,RESOUNDINGLY,STORMY ATLANTIC,STORMY ATLANTIC,,,,0,,,1901-01-01,COLIN BRENNAN BLOODSTOCK AGENT,,,,GRASSROOTS TRN & SALES,,,,53000,,https://youtu.be/IqqDkuuUd-I,,,T,0.0,,RESOUNDINGLY,STREET BOSS,STORMY ATLANTIC,
2024,Y,24FTSARNYB,2024-08-11,1,1,303,303,No Horse,No Horse,,,2023-02-13,2023,1,B,F,,Y,,,NY,INDEPENDENCE HALL,INDEPENDENCE HALL,ROCK 'N WOLIN,ROCK 'N WOLIN,NOT FOR LOVE,NOT FOR LOVE,,,,0,,,1901-01-01,TAYLOR MADE SALES AGENCY AGENT XCVIII,,,,KENNETH MCPEEK,,,,100000,,https://vimeo.com/995056864,,,T,0.0,,ROCK 'N WOLIN,INDEPENDENCE HALL,NOT FOR LOVE,
2024,Y,24FTSARNYB,2024-08-11,1,1,304,304,No Horse,No Horse,,,2023-04-03,2023,1,B,C,,Y,,,NY,GUN RUNNER,GUN RUNNER,ROCKY POLICY,ROCKY POLICY,ROCK SLIDE,ROCK SLIDE,,,,0,,,1901-01-01,TAYLOR MADE SALES AGENCY AGENT XXXV,,,,NOT SOLD,,,,160000,,https://youtu.be/E44Jsnwr_XY,,,T,0.0,,ROCKY POLICY,GUN RUNNER,ROCK SLIDE,
2024,Y,24FTSARNYB,2024-08-11,1,1,305,305,No Horse,No Horse,,,2023-03-21,2023,1,GRR,C,,Y,,,NY,LIAM'S MAP,LIAM'S MAP,ROSE' TO BLAME,ROSE' TO BLAME,BLAME,BLAME,,,,0,,,1901-01-01,HUNTER VALLEY FARM AGENT,,,,JERRY CRAWFORD FOR DONEGAL RACING,,,,200000,,https://vimeo.com/996441627?share=copy,,,T,0.0,,ROSE' TO BLAME,LIAM'S MAP,BLAME,
2024,Y,24FTSARNYB,2024-08-11,1,1,306,306,No Horse,No Horse,,,2023-03-11,2023,1,DKB,F,,Y,,,NY,TONALIST,TONALIST,ROYALE ROSE,ROYALE ROSE,MACHO UNO,MACHO UNO,,,,0,,,1901-01-01,WINTER QUARTER FARM AGENT III,,,,CARY FROMMER AGENT FOR JACQUELINE WAMMOCK,,,,18000,,,,Y,T,0.0,,ROYALE ROSE,TONALIST,MACHO UNO,
2024,Y,24FTSARNYB,2024-08-11,1,1,307,307,No Horse,No Horse,,,2023-04-06,2023,1,CH,C,,Y,,,NY,LEINSTER,LEINSTER,RULIONTOME,RULIONTOME,LION HEART,LION HEART,,,,0,,,1901-01-01,SUMMERFIELD (FRANCIS & BARBARA VANLANGENDONCK) AGENT,,,,GRASSROOTS TRN & SALES,,,,30000,,https://vimeo.com/996441688?share=copy,,,T,0.0,,RULIONTOME,LEINSTER,LION HEART,
2024,Y,24FTSARNYB,2024-08-11,1,1,308,308,No Horse,No Horse,,,2023-03-01,2023,1,DKB,F,,Y,,,NY,TIZ THE LAW,TIZ THE LAW,RUNFASTANDLOUD,RUNFASTANDLOUD,NATIVE RULER,NATIVE RULER,,,,0,,,1901-01-01,INDIAN CREEK AGENT,,,,MATTHEW T GROFF,,,,80000,,https://vimeo.com/995625430,,,T,0.0,,RUNFASTANDLOUD,TIZ THE LAW,NATIVE RULER,
2024,Y,24FTSARNYB,2024-08-11,1,1,309,309,No Horse,No Horse,,,2023-04-24,2023,1,CH,C,,Y,,,NY,STREET BOSS,STREET BOSS,SADIETHEPRETTYLADY,SADIETHEPRETTYLADY,PHONE TRICK,PHONE TRICK,,,,0,,,1901-01-01,TAYLOR MADE SALES AGENCY AGENT CVI,,,,THOROSTOCK LLC,,,,50000,,https://youtu.be/tqISKzDTA7Y,,,T,0.0,,SADIETHEPRETTYLADY,STREET BOSS,PHONE TRICK,
2024,Y,24FTSARNYB,2024-08-11,1,1,310,310,No Horse,No Horse,,,2023-03-09,2023,1,B,C,,Y,,,NY,OSCAR PERFORMANCE,OSCAR PERFORMANCE,SARAH'S PLEASURE,SARAH'S PLEASURE,STREET CRY (IRE),STREET CRY (IRE),,,,0,,,1901-01-01,INDIAN CREEK AGENT,,,,WEST POINT L.E.B. AGENT,,,,220000,,https://vimeo.com/995625579,,,T,0.0,,SARAH'S PLEASURE,OSCAR PERFORMANCE,STREET CRY (IRE),
